customerID,gender,SeniorCitizen,Partner,Dependents,tenure,CallService,MultipleConnections,InternetConnection,OnlineSecurity,OnlineBackup,DeviceProtectionService,TechnicalHelp,OnlineTV,OnlineMovies,Agreement,BillingMethod,PaymentMethod,MonthlyServiceCharges,TotalAmount,Churn
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,No,No,"Two year",Yes,"Credit card (automatic)",96.35,6766.95,No
8623-ULFNQ,Female,1,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,"Electronic check",66.05,1652.4,No
7995-ZHHNZ,Male,0,Yes,No,42,Yes,Yes,DSL,Yes,No,No,No,No,No,"One year",No,"Credit card (automatic)",56.1,2386.85,No
4389-UEFCZ,Female,0,Yes,No,72,Yes,Yes,"Fiber optic",Yes,No,Yes,No,Yes,Yes,"Two year",Yes,"Electronic check",105.5,7544,No
8687-BAFGU,Male,0,No,No,1,Yes,No,"Fiber optic",No,No,No,Yes,No,No,Month-to-month,No,"Electronic check",74,74,No
2324-AALNO,Female,0,No,No,48,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Bank transfer (automatic)",24.55,1203.95,No
8043-PNYSD,Male,0,Yes,Yes,63,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",19.55,1245.6,No
8350-NYMVI,Female,0,No,No,39,No,"No phone service",DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,"Bank transfer (automatic)",41.1,1597.05,No
7504-UWHNB,Male,0,No,No,25,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Electronic check",69.75,1729.35,No
5960-MVTUK,Male,0,No,No,3,No,"No phone service",DSL,No,No,No,Yes,No,No,Month-to-month,Yes,"Electronic check",29.75,96.85,No
2018-QKYGT,Male,0,Yes,Yes,1,Yes,No,"Fiber optic",No,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",81.05,81.05,No
9761-XUJWD,Male,0,No,No,5,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",65.6,339.9,No
2908-WGAXL,Female,0,Yes,Yes,56,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Credit card (automatic)",24.95,1468.9,No
3230-JCNZS,Female,0,Yes,Yes,71,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,No,"Two year",Yes,"Credit card (automatic)",99,7061.65,No
6937-GCDGQ,Male,0,Yes,Yes,19,Yes,No,DSL,Yes,No,No,No,No,No,"One year",Yes,"Bank transfer (automatic)",48.95,955.6,No
4001-TSBTV,Female,0,Yes,Yes,58,Yes,No,"Fiber optic",No,Yes,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",91.55,5511.65,No
1536-HBSWP,Female,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,"Electronic check",49.9,49.9,No
8922-NPKBJ,Male,0,Yes,Yes,42,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",19.35,867.3,No
2129-ALKBS,Female,0,Yes,Yes,40,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Electronic check",26.2,1077.5,No
8149-AIQCG,Male,0,No,No,39,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",73.15,2730.85,No
5387-ASZNZ,Female,1,No,No,66,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,"One year",Yes,"Credit card (automatic)",63.85,4174.35,No
6741-EGCBI,Male,1,No,No,30,Yes,Yes,"Fiber optic",Yes,No,No,No,No,Yes,Month-to-month,Yes,"Credit card (automatic)",90.5,2595.85,No
5397-NSKQG,Male,0,Yes,Yes,67,No,"No phone service",DSL,Yes,No,No,No,Yes,Yes,"Two year",No,"Credit card (automatic)",50.9,3281.65,No
2729-VNVAP,Female,0,Yes,Yes,33,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",19.8,641.35,No
7576-ASEJU,Female,0,Yes,Yes,41,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,"One year",Yes,"Credit card (automatic)",74.7,3187.65,No
6036-TTFYU,Female,0,Yes,No,16,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.6,314.45,No
5692-ICXLW,Male,1,No,No,31,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",90.7,2845.15,No
0447-RXSGD,Male,0,No,No,24,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",99.65,2404.85,No
0301-FIDRB,Female,0,Yes,Yes,72,No,"No phone service",DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",63.8,4684.3,No
7610-TVOPG,Male,0,No,No,15,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Electronic check",26.35,378.6,No
1555-HAPSU,Female,0,Yes,Yes,71,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",23.9,1663.5,No
8565-HBFNN,Male,0,Yes,No,69,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,No,Yes,"One year",Yes,"Credit card (automatic)",107.2,7317.1,No
7336-RLLRH,Male,0,Yes,No,27,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,"One year",No,"Mailed check",80.85,2204.35,No
8144-DGHXP,Female,0,No,No,54,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,"Two year",No,"Electronic check",80.6,4299.95,No
9135-MGVPY,Male,0,Yes,No,69,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Mailed check",84.7,5878.9,No
8645-KOMJQ,Male,0,Yes,Yes,69,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",81.95,5601.4,No
9058-HRZSV,Female,1,Yes,No,65,Yes,No,"Fiber optic",Yes,Yes,Yes,No,No,Yes,Month-to-month,No,"Electronic check",94.4,6126.15,No
2190-PHBHR,Female,0,Yes,No,72,Yes,Yes,"Fiber optic",Yes,Yes,No,No,No,Yes,"Two year",Yes,"Credit card (automatic)",94.45,6921.7,No
9786-YWNHU,Female,0,Yes,Yes,63,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,"Two year",No,"Mailed check",63.55,4014.2,No
9629-NHXFW,Female,0,Yes,Yes,1,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,Yes,"Mailed check",19.4,19.4,No
4694-PHWFW,Female,0,No,Yes,8,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.95,170.9,No
1635-FJFCC,Female,0,No,No,5,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Credit card (automatic)",44.05,202.15,No
2828-SLQPF,Male,0,No,No,19,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",45,865.85,No
9643-YBLUR,Male,0,Yes,No,9,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,"Credit card (automatic)",69.05,653.95,No
8226-BXGES,Male,0,Yes,No,64,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,No,No,"One year",No,"Bank transfer (automatic)",89.45,5692.65,No
9115-YQHGA,Male,0,No,No,40,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,"Electronic check",51.1,2092.9,No
0784-ZQJZX,Male,0,No,Yes,72,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",19.9,1529.65,No
5208-FVQKB,Male,0,Yes,No,70,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,"Two year",No,"Mailed check",67.95,4664.15,No
3295-YVUSR,Male,1,No,No,2,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",72.6,154.3,No
4524-QCSSM,Male,0,No,No,26,No,"No phone service",DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",44.65,1156.55,No
4501-UYKBC,Female,1,No,No,46,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,"One year",Yes,"Credit card (automatic)",69.1,3255.35,No
7129-AZJDE,Male,0,Yes,Yes,34,Yes,No,"Fiber optic",No,No,No,No,No,Yes,"One year",Yes,"Bank transfer (automatic)",78.95,2647.2,No
7395-XWZOY,Male,0,No,No,20,No,"No phone service",DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,"Credit card (automatic)",55,1165.55,No
4526-RMTLL,Male,0,Yes,Yes,8,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,"Two year",Yes,"Credit card (automatic)",76.15,645.8,No
3629-WEAAM,Female,0,No,No,8,Yes,No,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,"Mailed check",64.1,504.05,No
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,"Bank transfer (automatic)",45.25,45.25,No
9347-AERRL,Male,0,Yes,No,23,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Credit card (automatic)",19.3,486.2,No
3696-XRIEN,Female,0,No,No,50,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,"One year",Yes,"Credit card (automatic)",82.5,4179.1,No
9964-WBQDJ,Female,0,Yes,No,71,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",Yes,"Credit card (automatic)",24.4,1725.4,No
2858-EIMXH,Female,1,Yes,No,53,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",95.85,5016.25,No
6963-EZQEE,Male,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",88.55,6306.5,No
1752-OZXFY,Male,0,Yes,No,60,Yes,No,DSL,Yes,No,No,No,Yes,No,"One year",Yes,"Mailed check",59.8,3561.15,No
7634-WSWDB,Female,0,No,Yes,8,No,"No phone service",DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",38.5,330.8,No
5061-PBXFW,Female,0,Yes,Yes,32,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,"Bank transfer (automatic)",61.4,1864.65,No
7164-BPTUT,Male,0,No,Yes,57,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Mailed check",89.55,5012.35,No
9313-CDOGY,Male,0,Yes,Yes,38,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Electronic check",19.6,717.3,No
6217-TOWGS,Female,0,Yes,No,17,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",75.4,1322.55,No
5730-DBDSI,Male,0,No,No,66,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",19.7,1253.8,No
7901-IIDQV,Male,0,No,No,24,Yes,Yes,DSL,No,No,No,Yes,No,No,"One year",No,"Bank transfer (automatic)",54.6,1242.25,No
8606-OEGQZ,Female,0,No,Yes,18,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",25.3,454.65,No
9788-HNGUT,Male,0,Yes,No,72,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",116.95,8594.4,No
6195-MELTI,Male,0,No,No,57,Yes,No,DSL,No,Yes,No,Yes,No,No,"One year",Yes,"Mailed check",54.65,3134.7,No
5285-MVEHD,Female,0,Yes,No,56,Yes,No,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",105.6,6068.65,No
6344-SFJVH,Female,0,No,No,20,No,"No phone service",DSL,No,No,No,No,No,No,Month-to-month,No,"Credit card (automatic)",24.9,505.95,No
5032-MIYKT,Female,0,No,No,1,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",70.7,70.7,No
9278-VZKCD,Female,1,Yes,No,52,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",109.1,5647.95,No
5035-BVCXS,Male,0,No,No,11,Yes,No,"Fiber optic",No,Yes,No,No,No,No,Month-to-month,Yes,"Mailed check",75.9,866.4,No
7305-ZWMAJ,Male,0,Yes,No,30,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Credit card (automatic)",20.7,587.1,No
0840-DCNZE,Male,0,No,No,47,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Bank transfer (automatic)",86.95,4138.9,No
6527-PZFPV,Male,0,Yes,Yes,24,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Credit card (automatic)",20.8,469.65,No
0817-HSUSE,Male,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",75.5,75.5,No
3452-ABWRL,Male,1,No,No,47,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Credit card (automatic)",86.05,3865.6,No
8361-LBRDI,Female,0,No,No,58,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",24.35,1423.85,No
5236-XMZJY,Female,0,No,No,42,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,"Bank transfer (automatic)",59.65,2536.55,No
4890-VMUAV,Male,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,"One year",No,"Electronic check",71.5,4576.3,No
9408-HRXRK,Female,0,Yes,Yes,45,Yes,Yes,"Fiber optic",Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",105.15,4730.9,No
8541-QVFKM,Female,0,No,No,8,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",73.5,632.2,No
3452-ABWRL,Male,1,No,No,47,Yes,Yes,"Fiber optic",No,No,No,No,Yes,No,Month-to-month,Yes,"Credit card (automatic)",86.05,3865.6,No
1173-XZPYF,Female,0,No,No,11,Yes,Yes,"Fiber optic",No,No,Yes,No,Yes,No,Month-to-month,Yes,"Electronic check",89.2,990.3,No
9163-GHAYE,Female,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,"Electronic check",48.85,736.8,No
7029-IJEJK,Female,0,No,No,54,No,"No phone service",DSL,Yes,No,No,Yes,No,Yes,"One year",No,"Bank transfer (automatic)",44.1,2369.7,No
8873-GLDMH,Female,0,No,No,6,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",73.85,401.3,No
7560-QJAVJ,Female,0,No,No,70,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,"Two year",No,"Bank transfer (automatic)",79.6,5589.45,No
9030-QGZNL,Female,0,No,No,8,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",20.85,161.65,No
4116-IQRFR,Male,0,Yes,Yes,4,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Credit card (automatic)",24.1,73.1,No
2786-GCDPI,Female,1,No,No,50,Yes,Yes,"Fiber optic",No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",104.95,5222.35,No
4032-RMHCI,Female,0,Yes,Yes,41,No,"No phone service",DSL,Yes,No,Yes,No,No,No,"One year",No,"Credit card (automatic)",35.4,1412.4,No
5353-WILCI,Female,0,No,No,28,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,"Electronic check",56.05,1522.65,No
6137-NICCO,Female,0,Yes,Yes,6,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,No,Month-to-month,Yes,"Mailed check",94.05,518.75,No
9068-VPWQQ,Male,0,Yes,No,61,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,"Two year",No,"Credit card (automatic)",75.35,4729.3,No
9334-GWGOW,Male,1,Yes,No,7,Yes,Yes,"Fiber optic",No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",74.85,485.25,No
7517-LDMPS,Female,0,No,No,12,Yes,No,"Fiber optic",No,Yes,No,No,No,Yes,Month-to-month,Yes,"Electronic check",84.6,1017.35,No
8957-THMOA,Female,0,No,Yes,50,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",20.15,970.85,No
6176-YJWAS,Male,0,Yes,No,72,Yes,Yes,"Fiber optic",Yes,Yes,Yes,No,Yes,No,"Two year",Yes,"Credit card (automatic)",97.95,7114.25,No
5453-YBTWV,Male,0,Yes,Yes,70,Yes,No,"Fiber optic",Yes,Yes,Yes,Yes,Yes,No,"Two year",Yes,"Credit card (automatic)",101.1,6994.8,No
4947-DSMXK,Male,0,Yes,Yes,34,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",97.7,3410,No
5339-PXDVH,Male,0,No,No,4,Yes,Yes,"Fiber optic",Yes,No,No,No,Yes,No,Month-to-month,No,"Electronic check",90.65,367.95,No
8663-UPDGF,Female,0,No,No,26,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,"Bank transfer (automatic)",69.5,1800.05,No
1170-SASML,Female,0,Yes,No,69,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,No,Month-to-month,Yes,"Bank transfer (automatic)",85.4,5869.4,No
8709-KRDVL,Female,0,No,No,33,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,Month-to-month,Yes,"Electronic check",100,3320.6,No
2798-NYLMZ,Male,0,Yes,No,71,Yes,Yes,"Fiber optic",Yes,No,Yes,Yes,Yes,Yes,"Two year",Yes,"Credit card (automatic)",108.55,7616,No
6185-TASNN,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,"Electronic check",46.3,46.3,No
8710-YGLWG,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Mailed check",44.9,44.9,No
8755-IWJHN,Male,1,Yes,No,69,Yes,Yes,"Fiber optic",No,Yes,Yes,No,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",95.35,6382,No
8410-BGQXN,Male,0,No,No,4,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",19.4,93.4,No
7064-FRRSW,Male,1,No,No,48,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,Yes,"One year",Yes,"Electronic check",99,4744.35,No
2229-DPMBI,Female,0,Yes,Yes,8,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Mailed check",19.5,162.15,No
2242-MFOTG,Male,0,No,No,33,Yes,Yes,"Fiber optic",Yes,No,No,No,No,No,"One year",No,"Bank transfer (automatic)",80.1,2603.3,No
2205-LPVGL,Male,1,Yes,Yes,58,Yes,Yes,"Fiber optic",Yes,Yes,No,Yes,No,No,"One year",Yes,"Bank transfer (automatic)",89.85,5125.75,No
3227-WLKLI,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",No,"Bank transfer (automatic)",91.55,5963.95,No
6907-FLBER,Male,0,No,No,1,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,"Electronic check",54.3,54.3,No
8705-WZCYL,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,"Electronic check",44.8,44.8,No
4680-KUTAJ,Female,1,No,No,11,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,"Electronic check",55.6,580.8,No
1022-RKXDR,Female,0,No,No,41,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Mailed check",24.85,962.25,No
3688-FTHLT,Female,0,No,No,16,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,"Bank transfer (automatic)",63.05,1067.05,No
8805-JNRAZ,Female,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,"Mailed check",49.2,103.7,No
8879-ZKJOF,Female,0,No,No,41,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,"One year",Yes,"Bank transfer (automatic)",79.85,3320.75,No
7895-VONWT,Female,0,No,No,25,No,"No phone service",DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,"Electronic check",48.25,1293.8,No
8975-SKGRX,Male,0,Yes,No,71,Yes,Yes,"Fiber optic",Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Bank transfer (automatic)",116.1,8310.55,No
5149-CUZUJ,Male,0,Yes,Yes,28,Yes,No,"Fiber optic",No,Yes,Yes,Yes,Yes,No,"One year",No,"Bank transfer (automatic)",92.9,2768.35,No
6701-DHKWQ,Female,0,Yes,Yes,61,No,"No phone service",DSL,No,Yes,Yes,Yes,Yes,No,"Two year",No,"Credit card (automatic)",51.35,3244.4,No
5376-PCKNB,Male,0,Yes,Yes,72,Yes,Yes,"Fiber optic",No,Yes,Yes,No,Yes,Yes,"One year",Yes,"Credit card (automatic)",104.45,7459,No
8985-OOPOS,Female,0,No,No,1,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,"One year",No,"Credit card (automatic)",74.1,74.1,No
7105-MXJLL,Female,1,Yes,No,26,Yes,No,DSL,No,No,Yes,No,No,Yes,"One year",No,"Mailed check",60.7,1597.4,No
2371-JUNGC,Male,0,No,No,11,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service",Month-to-month,No,"Mailed check",20.25,208,No
7579-KKLOE,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,"Two year",Yes,"Mailed check",91.25,6589.6,No
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,"Fiber optic",Yes,Yes,No,No,Yes,No,Month-to-month,No,"Electronic check",89.85,248.4,No
0257-KXZGU,Female,0,Yes,Yes,32,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,"Bank transfer (automatic)",62.45,2045.55,No
5451-MHQOF,Male,0,Yes,Yes,56,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",Yes,"Mailed check",24.45,1431.65,No
3214-IYUUQ,Female,0,Yes,No,61,Yes,No,"Fiber optic",Yes,Yes,No,Yes,No,Yes,"One year",No,"Bank transfer (automatic)",93.7,5860.7,No
0727-BNRLG,Male,0,No,No,69,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,No,"Two year",Yes,"Credit card (automatic)",97.65,6743.55,No
8750-QWZAJ,Female,0,Yes,Yes,70,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",19.8,1378.75,No
8213-TAZPM,Female,0,Yes,Yes,69,Yes,Yes,"Fiber optic",No,Yes,Yes,Yes,Yes,Yes,"One year",Yes,"Bank transfer (automatic)",108.75,7493.05,No
1872-EBWSC,Female,0,No,No,29,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year",No,"Mailed check",20.35,617.35,No
9650-VBUOG,Male,0,Yes,Yes,38,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",25.05,963.95,No
8734-FNWVH,Male,0,Yes,Yes,31,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,"Bank transfer (automatic)",59.7,1825.5,No
3043-TYBNO,Male,0,No,No,3,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,"Mailed check",60.65,196.9,No
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,"Electronic check",75.3,244.1,No
4979-HPRFL,Male,0,Yes,Yes,56,Yes,Yes,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Bank transfer (automatic)",24.15,1402.25,No
5351-QESIO,Male,0,No,Yes,1,No,"No phone service",DSL,No,No,No,No,No,No,Month-to-month,No,"Mailed check",24.2,24.2,No
4132-POCZS,Male,0,Yes,No,52,No,"No phone service",DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,"Electronic check",39.9,2020.9,No
0936-NQLJU,Female,0,Yes,No,41,Yes,No,No,"No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year",No,"Credit card (automatic)",20.65,875.55,No
0701-RFGFI,Female,0,Yes,Yes,49,Yes,Yes,"Fiber optic",No,No,No,No,Yes,Yes,Month-to-month,Yes,"Bank transfer (automatic)",95.4,4613.95,No
9053-EJUNL,Male,0,No,No,41,Yes,Yes,"Fiber optic",No,Yes,No,No,Yes,No,Month-to-month,Yes,"Electronic check",89.2,3645.75,No
6705-LXORM,Female,1,Yes,No,5,Yes,No,"Fiber optic",No,No,No,No,No,No,Month-to-month,No,"Electronic check",70.05,302.6,No
